epoch,train_loss,train_kpt_loss,train_presence_loss,train_prior_loss,val_loss,val_kpt_loss,val_presence_loss,val_prior_loss,lr,time
1,1.7024179667743862,1.2255108421611554,4.769037876009795,3.3264326558833173e-06,0.3300436931048952,0.18719084793474616,1.428519483019666,8.916882565267215e-07,8e-05,853.7146084308624
2,0.19459616429694407,0.07661874166443053,1.1797687286040286,5.459821288021196e-07,0.7094618591593533,0.5093647582592761,2.0009565221827206,1.4402382573014e-06,8e-05,884.2070322036743
3,0.0910457734687206,0.03069717041756935,0.6034805714465469,5.446888106787864e-07,0.698632259576059,0.49198271154721335,2.066476316350262,1.912742346775769e-06,8e-05,872.6763427257538
4,0.059251033818128636,0.019236276867789226,0.4001421221373864,5.446880812229472e-07,0.14750465788855785,0.03840838488100506,1.090955890824155,6.840279624844786e-07,8e-05,864.2523217201233
5,0.04572122916351817,0.014439092627789038,0.31281592182005424,5.446879965477689e-07,0.34636110249997637,0.10621575023297493,2.4014423589880876,1.1105909510017848e-06,8e-05,836.1048121452332
6,0.03827644105072751,0.012297202029318909,0.2597869468514008,5.446880599500438e-07,0.034947566342789955,0.014659313357821325,0.202876958687131,5.575227297280125e-07,8e-05,850.7216196060181
7,0.034353064095671945,0.011295984172511287,0.2305653559928703,5.446880744211706e-07,0.10810809990436565,0.04394621688009399,0.6416112553419137,7.559892887135303e-07,8e-05,850.7967026233673
8,0.03247707561158799,0.01096420719797731,0.2151232411873428,5.446880725472117e-07,0.06540762480893512,0.022928126117714293,0.42478862717384247,6.349896693791379e-07,8e-05,852.7819719314575
9,0.031082896382680962,0.010899141211101332,0.2018321091638962,5.446880755316648e-07,0.048603073834646036,0.016677117824736166,0.31925370776798667,5.8532612944496e-07,8e-05,844.8084843158722
10,0.029382472928904533,0.01064219754541768,0.18739731141317167,5.446880739700324e-07,0.18434561479200678,0.11097770815533473,0.7336685978784794,1.0459971671169602e-06,8e-05,849.8942730426788
11,0.028366450583664597,0.010478356709847083,0.17887549660417623,5.446880729289441e-07,0.041325527579500906,0.012446304658291543,0.28878651493933144,5.715832982077257e-07,8e-05,848.8227224349976
12,0.027350491388690668,0.010396681049376981,0.16953266197553993,5.446880776138413e-07,0.22884520379962717,0.15517489821536512,0.7366904503688579,1.2586741208019147e-06,8e-05,851.1322021484375
13,0.02656021987580409,0.01027603772149327,0.16283637955011537,5.446880761563177e-07,0.04317267017847881,0.02017511363799979,0.22996949724307875,6.071233101687451e-07,8e-05,842.5094909667969
14,0.02580278151371813,0.010347659064807061,0.1545457829026476,5.446880777179501e-07,0.056716566909922335,0.021996088628089282,0.3471988940747773,5.884952712199819e-07,8e-05,842.8411664962769
15,0.024957069630765324,0.010221886127602687,0.14734639356342646,5.446880773362178e-07,0.12393259708656043,0.060325834702518656,0.6360580088525284,9.6073216221756e-07,8e-05,845.0096685886383
16,0.02428126960119485,0.010114716143337088,0.14166009302168028,5.44688077752653e-07,0.06258566583529478,0.012103668618492963,0.5048143497690922,5.620327517423969e-07,8e-05,843.8141033649445
17,0.023573515884423576,0.01011513291331638,0.1345783879887199,5.446880772668119e-07,0.09875070247344854,0.014616929567078265,0.8413316824450725,6.041073087234087e-07,5.6e-05,844.6734993457794
18,0.02301867728909621,0.009991233377240972,0.13026899721596266,5.44688077752653e-07,0.12110113008629259,0.01593498513556835,1.0516553860975475,6.037091455299361e-07,5.6e-05,844.0514280796051
19,0.022701420208896362,0.010055973661622267,0.1264490241864844,5.446880743517647e-07,0.2839628076862271,0.15457184249762354,1.2938972620884093,1.2348551319696636e-06,5.6e-05,832.1307127475739
20,0.022272924027236244,0.00997728096310991,0.12295098900476582,5.446880775791383e-07,0.037030625129800016,0.010583699976162212,0.26446360087976223,5.653576128746109e-07,5.6e-05,847.6455159187317
21,0.021687467758781453,0.009842172416293213,0.11844751194019384,5.44688077752653e-07,0.044272066280245784,0.008092693117924217,0.36178809366211656,5.639864020960842e-07,5.6e-05,841.9327681064606
